_id,Year/Année,Parent who gave birth/Parent qui a donné naissance,Age of Father or Parent / Âge du père ou parent,Births/Naissances
1009,2014,40,50-54,96
1010,2014,40,55-59,25
1011,2014,40,60+,14
1012,2014,40,N.S./N.P.,96
1013,2014,41,<20,0
1014,2014,41,20-24,1
1015,2014,41,25-29,19
1016,2014,41,30-34,83
1017,2014,41,35-39,288
1018,2014,41,40-44,655
1019,2014,41,45-49,282
1020,2014,41,50-54,97
1021,2014,41,55-59,13
1022,2014,41,60+,9
1023,2014,41,N.S./N.P.,82
1024,2014,42,<20,0
1025,2014,42,20-24,2
1026,2014,42,25-29,15
1027,2014,42,30-34,37
1028,2014,42,35-39,131
1029,2014,42,40-44,406
1030,2014,42,45-49,195
1031,2014,42,50-54,85
1032,2014,42,55-59,24
1033,2014,42,60+,12
1034,2014,42,N.S./N.P.,55
1035,2014,43,<20,0
1036,2014,43,20-24,1
1037,2014,43,25-29,5
1038,2014,43,30-34,26
1039,2014,43,35-39,62
1040,2014,43,40-44,210
1041,2014,43,45-49,138
1042,2014,43,50-54,65
1043,2014,43,55-59,17
1044,2014,43,60+,4
1045,2014,43,N.S./N.P.,34
1046,2014,44,<20,0
1047,2014,44,20-24,0
1048,2014,44,25-29,3
1049,2014,44,30-34,8
1050,2014,44,35-39,26
1051,2014,44,40-44,90
1052,2014,44,45-49,103
1053,2014,44,50-54,41
1054,2014,44,55-59,12
1055,2014,44,60+,2
1056,2014,44,N.S./N.P.,21
1057,2014,<15,<20,7
1058,2014,<15,20-24,0
1059,2014,<15,25-29,0
1060,2014,<15,30-34,0
1061,2014,<15,35-39,0
1062,2014,<15,40-44,0
1063,2014,<15,45-49,0
1064,2014,<15,50-54,0
1065,2014,<15,55-59,0
1066,2014,<15,60+,0
1067,2014,<15,N.S./N.P.,5
1068,2014,>44,<20,0
1069,2014,>44,20-24,0
1070,2014,>44,25-29,1
1071,2014,>44,30-34,8
1072,2014,>44,35-39,34
1073,2014,>44,40-44,94
1074,2014,>44,45-49,153
1075,2014,>44,50-54,77
1076,2014,>44,55-59,24
1077,2014,>44,60+,7
1078,2014,>44,N.S./N.P.,36
1079,2014,N.S./N.P.,<20,1
1080,2014,N.S./N.P.,20-24,0
1081,2014,N.S./N.P.,25-29,1
1082,2014,N.S./N.P.,30-34,0
1083,2014,N.S./N.P.,35-39,0
1084,2014,N.S./N.P.,40-44,4
1085,2014,N.S./N.P.,45-49,0
1086,2014,N.S./N.P.,50-54,2
1087,2014,N.S./N.P.,55-59,0
1088,2014,N.S./N.P.,60+,0
1089,2014,N.S./N.P.,N.S./N.P.,1574
1090,2015,15,<20,26
1091,2015,15,20-24,2
1092,2015,15,25-29,1
1093,2015,15,30-34,0
1094,2015,15,35-39,0
1095,2015,15,40-44,0
1096,2015,15,45-49,0
1097,2015,15,50-54,0
1098,2015,15,55-59,0
1099,2015,15,60+,0
1100,2015,15,N.S./N.P.,22
1101,2015,16,<20,122
1102,2015,16,20-24,32
1103,2015,16,25-29,1
1104,2015,16,30-34,0
1105,2015,16,35-39,0
1106,2015,16,40-44,1
1107,2015,16,45-49,0
1108,2015,16,50-54,0
1109,2015,16,55-59,0
1110,2015,16,60+,0
1111,2015,16,N.S./N.P.,62
1112,2015,17,<20,184
1113,2015,17,20-24,136
1114,2015,17,25-29,23
1115,2015,17,30-34,3
1116,2015,17,35-39,2
1117,2015,17,40-44,1
1118,2015,17,45-49,2
1119,2015,17,50-54,0
1120,2015,17,55-59,0
1121,2015,17,60+,0
1122,2015,17,N.S./N.P.,142
1123,2015,18,<20,275
1124,2015,18,20-24,279
1125,2015,18,25-29,56
1126,2015,18,30-34,13
1127,2015,18,35-39,7
1128,2015,18,40-44,3
1129,2015,18,45-49,0
1130,2015,18,50-54,0
1131,2015,18,55-59,1
1132,2015,18,60+,0
1133,2015,18,N.S./N.P.,178
1134,2015,19,<20,204
1135,2015,19,20-24,640
1136,2015,19,25-29,137
1137,2015,19,30-34,46
1138,2015,19,35-39,12
1139,2015,19,40-44,1
1140,2015,19,45-49,3
1141,2015,19,50-54,0
1142,2015,19,55-59,0
1143,2015,19,60+,0
1144,2015,19,N.S./N.P.,270
1145,2015,20,<20,112
1146,2015,20,20-24,949
1147,2015,20,25-29,354
1148,2015,20,30-34,92
1149,2015,20,35-39,28
1150,2015,20,40-44,12
1151,2015,20,45-49,4
1152,2015,20,50-54,0
1153,2015,20,55-59,1
1154,2015,20,60+,0
1155,2015,20,N.S./N.P.,303
1156,2015,21,<20,58
1157,2015,21,20-24,1147
1158,2015,21,25-29,584
1159,2015,21,30-34,189
1160,2015,21,35-39,56
1161,2015,21,40-44,10
1162,2015,21,45-49,10
1163,2015,21,50-54,4
1164,2015,21,55-59,1
1165,2015,21,60+,0
1166,2015,21,N.S./N.P.,316
1167,2015,22,<20,18
1168,2015,22,20-24,1153
1169,2015,22,25-29,930
1170,2015,22,30-34,308
1171,2015,22,35-39,86
1172,2015,22,40-44,24
1173,2015,22,45-49,11
1174,2015,22,50-54,4
1175,2015,22,55-59,1
1176,2015,22,60+,2
1177,2015,22,N.S./N.P.,322
1178,2015,23,<20,19
1179,2015,23,20-24,1049
1180,2015,23,25-29,1447
1181,2015,23,30-34,472
1182,2015,23,35-39,142
1183,2015,23,40-44,44
1184,2015,23,45-49,10
1185,2015,23,50-54,7
1186,2015,23,55-59,3
1187,2015,23,60+,2
1188,2015,23,N.S./N.P.,345
1189,2015,24,<20,8
1190,2015,24,20-24,864
1191,2015,24,25-29,2088
1192,2015,24,30-34,733
1193,2015,24,35-39,209
1194,2015,24,40-44,54
1195,2015,24,45-49,22
1196,2015,24,50-54,9
1197,2015,24,55-59,2
1198,2015,24,60+,1
1199,2015,24,N.S./N.P.,328
1200,2015,25,<20,7
1201,2015,25,20-24,524
1202,2015,25,25-29,2791
1203,2015,25,30-34,1197
1204,2015,25,35-39,325
1205,2015,25,40-44,103
1206,2015,25,45-49,18
1207,2015,25,50-54,10
1208,2015,25,55-59,5
1209,2015,25,60+,0
1210,2015,25,N.S./N.P.,338
1211,2015,26,<20,4
1212,2015,26,20-24,287
1213,2015,26,25-29,3286
1214,2015,26,30-34,1751
1215,2015,26,35-39,491
1216,2015,26,40-44,145
1217,2015,26,45-49,49
1218,2015,26,50-54,18
1219,2015,26,55-59,3
1220,2015,26,60+,0
1221,2015,26,N.S./N.P.,335
1222,2015,27,<20,2
1223,2015,27,20-24,180
1224,2015,27,25-29,3417
1225,2015,27,30-34,2574
1226,2015,27,35-39,706
1227,2015,27,40-44,192
1228,2015,27,45-49,59
1229,2015,27,50-54,25
1230,2015,27,55-59,6
1231,2015,27,60+,2
1232,2015,27,N.S./N.P.,302
1233,2015,28,<20,1
1234,2015,28,20-24,149
1235,2015,28,25-29,3388
1236,2015,28,30-34,3624
1237,2015,28,35-39,1043
1238,2015,28,40-44,245
1239,2015,28,45-49,68
1240,2015,28,50-54,17
1241,2015,28,55-59,8
1242,2015,28,60+,2
1243,2015,28,N.S./N.P.,282
1244,2015,29,<20,3
1245,2015,29,20-24,97
1246,2015,29,25-29,2705
1247,2015,29,30-34,5001
1248,2015,29,35-39,1483
1249,2015,29,40-44,361
1250,2015,29,45-49,104
1251,2015,29,50-54,38
1252,2015,29,55-59,11
1253,2015,29,60+,3
1254,2015,29,N.S./N.P.,317
1255,2015,30,<20,0
1256,2015,30,20-24,65
1257,2015,30,25-29,1459
1258,2015,30,30-34,6352
1259,2015,30,35-39,1906
1260,2015,30,40-44,494
1261,2015,30,45-49,139
1262,2015,30,50-54,37
1263,2015,30,55-59,5
1264,2015,30,60+,4
1265,2015,30,N.S./N.P.,311
1266,2015,31,<20,0
1267,2015,31,20-24,46
1268,2015,31,25-29,919
1269,2015,31,30-34,6315
1270,2015,31,35-39,2394
1271,2015,31,40-44,575
1272,2015,31,45-49,171
1273,2015,31,50-54,57
1274,2015,31,55-59,16
1275,2015,31,60+,2
1276,2015,31,N.S./N.P.,283
1277,2015,32,<20,2
1278,2015,32,20-24,31
1279,2015,32,25-29,625
1280,2015,32,30-34,5838
1281,2015,32,35-39,3024
1282,2015,32,40-44,756
1283,2015,32,45-49,190
1284,2015,32,50-54,51
1285,2015,32,55-59,13
1286,2015,32,60+,8
1287,2015,32,N.S./N.P.,250
1288,2015,33,<20,1
1289,2015,33,20-24,24
1290,2015,33,25-29,391
1291,2015,33,30-34,4588
1292,2015,33,35-39,3517
1293,2015,33,40-44,969
1294,2015,33,45-49,216
1295,2015,33,50-54,79
1296,2015,33,55-59,19
1297,2015,33,60+,6
1298,2015,33,N.S./N.P.,250
1299,2015,34,<20,1
1300,2015,34,20-24,21
1301,2015,34,25-29,288
1302,2015,34,30-34,3065
1303,2015,34,35-39,3941
1304,2015,34,40-44,1148
1305,2015,34,45-49,295
1306,2015,34,50-54,95
1307,2015,34,55-59,17
1308,2015,34,60+,9
1309,2015,34,N.S./N.P.,253
1310,2015,35,<20,0
1311,2015,35,20-24,18
1312,2015,35,25-29,203
1313,2015,35,30-34,1797
1314,2015,35,35-39,4084
1315,2015,35,40-44,1311
1316,2015,35,45-49,325
1317,2015,35,50-54,92
1318,2015,35,55-59,29
1319,2015,35,60+,3
1320,2015,35,N.S./N.P.,235
1321,2015,36,<20,0
1322,2015,36,20-24,17
1323,2015,36,25-29,142
1324,2015,36,30-34,1050
1325,2015,36,35-39,3345
1326,2015,36,40-44,1310
1327,2015,36,45-49,364
1328,2015,36,50-54,100
1329,2015,36,55-59,27
1330,2015,36,60+,10
1331,2015,36,N.S./N.P.,188
1332,2015,37,<20,0
1333,2015,37,20-24,11
1334,2015,37,25-29,108
1335,2015,37,30-34,545
1336,2015,37,35-39,2607
1337,2015,37,40-44,1361
1338,2015,37,45-49,395
1339,2015,37,50-54,99
1340,2015,37,55-59,27
1341,2015,37,60+,16
1342,2015,37,N.S./N.P.,173
1343,2015,38,<20,0
1344,2015,38,20-24,9
1345,2015,38,25-29,67
1346,2015,38,30-34,358
1347,2015,38,35-39,1710
1348,2015,38,40-44,1285
1349,2015,38,45-49,366
1350,2015,38,50-54,108
1351,2015,38,55-59,25
1352,2015,38,60+,10
1353,2015,38,N.S./N.P.,139
1354,2015,39,<20,0
1355,2015,39,20-24,2
1356,2015,39,25-29,44
1357,2015,39,30-34,222
1358,2015,39,35-39,976
1359,2015,39,40-44,1149
1360,2015,39,45-49,411
1361,2015,39,50-54,109
1362,2015,39,55-59,21
1363,2015,39,60+,13
1364,2015,39,N.S./N.P.,128
1365,2015,40,<20,0
1366,2015,40,20-24,7
1367,2015,40,25-29,24
1368,2015,40,30-34,149
1369,2015,40,35-39,583
1370,2015,40,40-44,993
1371,2015,40,45-49,376
1372,2015,40,50-54,105
1373,2015,40,55-59,24
1374,2015,40,60+,11
1375,2015,40,N.S./N.P.,109
1376,2015,41,<20,0
1377,2015,41,20-24,3
1378,2015,41,25-29,13
1379,2015,41,30-34,80
1380,2015,41,35-39,284
1381,2015,41,40-44,616
1382,2015,41,45-49,285
1383,2015,41,50-54,95
1384,2015,41,55-59,13
1385,2015,41,60+,13
1386,2015,41,N.S./N.P.,83
1387,2015,42,<20,0
1388,2015,42,20-24,3
1389,2015,42,25-29,12
1390,2015,42,30-34,41
1391,2015,42,35-39,154
1392,2015,42,40-44,368
1393,2015,42,45-49,209
1394,2015,42,50-54,67
1395,2015,42,55-59,12
1396,2015,42,60+,5
1397,2015,42,N.S./N.P.,58
1398,2015,43,<20,0
1399,2015,43,20-24,2
1400,2015,43,25-29,7
1401,2015,43,30-34,15
1402,2015,43,35-39,59
1403,2015,43,40-44,221
1404,2015,43,45-49,175
1405,2015,43,50-54,49
1406,2015,43,55-59,19
1407,2015,43,60+,5
1408,2015,43,N.S./N.P.,39
1409,2015,44,<20,0
1410,2015,44,20-24,0
1411,2015,44,25-29,1
1412,2015,44,30-34,13
1413,2015,44,35-39,27
1414,2015,44,40-44,125
1415,2015,44,45-49,93
1416,2015,44,50-54,41
1417,2015,44,55-59,11
1418,2015,44,60+,3
1419,2015,44,N.S./N.P.,26
1420,2015,<15,<20,7
1421,2015,<15,20-24,1
1422,2015,<15,25-29,0
1423,2015,<15,30-34,0
1424,2015,<15,35-39,0
1425,2015,<15,40-44,0
1426,2015,<15,45-49,0
1427,2015,<15,50-54,0
1428,2015,<15,55-59,0
1429,2015,<15,60+,0
1430,2015,<15,N.S./N.P.,5
1431,2015,>44,<20,0
1432,2015,>44,20-24,0
1433,2015,>44,25-29,2
1434,2015,>44,30-34,10
1435,2015,>44,35-39,27
1436,2015,>44,40-44,77
1437,2015,>44,45-49,146
1438,2015,>44,50-54,109
1439,2015,>44,55-59,26
1440,2015,>44,60+,11
1441,2015,>44,N.S./N.P.,36
1442,2015,N.S./N.P.,<20,0
1443,2015,N.S./N.P.,20-24,0
1444,2015,N.S./N.P.,25-29,0
1445,2015,N.S./N.P.,30-34,0
1446,2015,N.S./N.P.,35-39,2
1447,2015,N.S./N.P.,40-44,3
1448,2015,N.S./N.P.,45-49,1
1449,2015,N.S./N.P.,50-54,0
1450,2015,N.S./N.P.,55-59,0
1451,2015,N.S./N.P.,60+,0
1452,2015,N.S./N.P.,N.S./N.P.,1398
1453,2016,15,<20,33
1454,2016,15,20-24,5
1455,2016,15,25-29,0
1456,2016,15,30-34,0
1457,2016,15,35-39,0
1458,2016,15,40-44,0
1459,2016,15,45-49,0
1460,2016,15,50-54,0
1461,2016,15,55-59,0
1462,2016,15,60+,0
1463,2016,15,N.S./N.P.,26
1464,2016,16,<20,73
1465,2016,16,20-24,19
1466,2016,16,25-29,2
1467,2016,16,30-34,0
1468,2016,16,35-39,0
1469,2016,16,40-44,0
1470,2016,16,45-49,0
1471,2016,16,50-54,0
1472,2016,16,55-59,0
1473,2016,16,60+,0
1474,2016,16,N.S./N.P.,56
1475,2016,17,<20,154
1476,2016,17,20-24,93
1477,2016,17,25-29,18
1478,2016,17,30-34,3
1479,2016,17,35-39,0
1480,2016,17,40-44,0
1481,2016,17,45-49,0
1482,2016,17,50-54,0
1483,2016,17,55-59,0
1484,2016,17,60+,0
1485,2016,17,N.S./N.P.,118
1486,2016,18,<20,186
1487,2016,18,20-24,298
1488,2016,18,25-29,52
1489,2016,18,30-34,10
1490,2016,18,35-39,5
1491,2016,18,40-44,2
1492,2016,18,45-49,1
1493,2016,18,50-54,0
1494,2016,18,55-59,0
1495,2016,18,60+,0
1496,2016,18,N.S./N.P.,161
1497,2016,19,<20,206
1498,2016,19,20-24,546
1499,2016,19,25-29,140
1500,2016,19,30-34,44
1501,2016,19,35-39,15
1502,2016,19,40-44,2
1503,2016,19,45-49,1
1504,2016,19,50-54,0
1505,2016,19,55-59,0
1506,2016,19,60+,0
1507,2016,19,N.S./N.P.,217
1508,2016,20,<20,104
1509,2016,20,20-24,922
1510,2016,20,25-29,318
1511,2016,20,30-34,105
1512,2016,20,35-39,25
1513,2016,20,40-44,4
1514,2016,20,45-49,3
1515,2016,20,50-54,2
1516,2016,20,55-59,0
1517,2016,20,60+,0
1518,2016,20,N.S./N.P.,276
1519,2016,21,<20,50
1520,2016,21,20-24,1111
1521,2016,21,25-29,573
1522,2016,21,30-34,186
1523,2016,21,35-39,45
1524,2016,21,40-44,14
1525,2016,21,45-49,5
1526,2016,21,50-54,0
1527,2016,21,55-59,0
1528,2016,21,60+,0
1529,2016,21,N.S./N.P.,313
1530,2016,22,<20,22
1531,2016,22,20-24,1087
1532,2016,22,25-29,917
1533,2016,22,30-34,348
1534,2016,22,35-39,79
1535,2016,22,40-44,37
1536,2016,22,45-49,11
1537,2016,22,50-54,2
1538,2016,22,55-59,4
1539,2016,22,60+,0
1540,2016,22,N.S./N.P.,298
1541,2016,23,<20,12
1542,2016,23,20-24,996
1543,2016,23,25-29,1364
1544,2016,23,30-34,464
1545,2016,23,35-39,117
1546,2016,23,40-44,46
1547,2016,23,45-49,22
1548,2016,23,50-54,3
1549,2016,23,55-59,1
1550,2016,23,60+,1
1551,2016,23,N.S./N.P.,346
1552,2016,24,<20,6
1553,2016,24,20-24,806
1554,2016,24,25-29,2019
1555,2016,24,30-34,795
1556,2016,24,35-39,191
1557,2016,24,40-44,61
1558,2016,24,45-49,24
1559,2016,24,50-54,16
1560,2016,24,55-59,3
1561,2016,24,60+,2
1562,2016,24,N.S./N.P.,302
1563,2016,25,<20,4
1564,2016,25,20-24,475
1565,2016,25,25-29,2842
1566,2016,25,30-34,1184
1567,2016,25,35-39,328
1568,2016,25,40-44,81
1569,2016,25,45-49,32
1570,2016,25,50-54,13
1571,2016,25,55-59,5
1572,2016,25,60+,0
1573,2016,25,N.S./N.P.,303
1574,2016,26,<20,3
1575,2016,26,20-24,286
1576,2016,26,25-29,3355
1577,2016,26,30-34,1806
1578,2016,26,35-39,508
1579,2016,26,40-44,121
1580,2016,26,45-49,27
1581,2016,26,50-54,14
1582,2016,26,55-59,4
1583,2016,26,60+,1
1584,2016,26,N.S./N.P.,303
1585,2016,27,<20,3
1586,2016,27,20-24,198
1587,2016,27,25-29,3546
1588,2016,27,30-34,2563
1589,2016,27,35-39,696
1590,2016,27,40-44,191
1591,2016,27,45-49,61
1592,2016,27,50-54,20
1593,2016,27,55-59,6
1594,2016,27,60+,2
1595,2016,27,N.S./N.P.,308
1596,2016,28,<20,3
1597,2016,28,20-24,123
1598,2016,28,25-29,3375
1599,2016,28,30-34,3692
1600,2016,28,35-39,955
1601,2016,28,40-44,220
1602,2016,28,45-49,76
1603,2016,28,50-54,24
1604,2016,28,55-59,11
1605,2016,28,60+,2
1606,2016,28,N.S./N.P.,331
1607,2016,29,<20,2
1608,2016,29,20-24,81
1609,2016,29,25-29,2642
1610,2016,29,30-34,4976
1611,2016,29,35-39,1465
1612,2016,29,40-44,327
1613,2016,29,45-49,100
1614,2016,29,50-54,26
1615,2016,29,55-59,10
1616,2016,29,60+,7
1617,2016,29,N.S./N.P.,314
1618,2016,30,<20,1
1619,2016,30,20-24,62
1620,2016,30,25-29,1526
1621,2016,30,30-34,6350
1622,2016,30,35-39,1835
1623,2016,30,40-44,460
1624,2016,30,45-49,112
1625,2016,30,50-54,34
1626,2016,30,55-59,8
1627,2016,30,60+,6
1628,2016,30,N.S./N.P.,353
1629,2016,31,<20,1
1630,2016,31,20-24,46
1631,2016,31,25-29,887
1632,2016,31,30-34,6645
1633,2016,31,35-39,2621
1634,2016,31,40-44,648
1635,2016,31,45-49,143
1636,2016,31,50-54,47
1637,2016,31,55-59,11
1638,2016,31,60+,7
1639,2016,31,N.S./N.P.,314
1640,2016,32,<20,2
1641,2016,32,20-24,39
1642,2016,32,25-29,587
1643,2016,32,30-34,5976
1644,2016,32,35-39,3144
1645,2016,32,40-44,739
1646,2016,32,45-49,194
1647,2016,32,50-54,62
1648,2016,32,55-59,16
1649,2016,32,60+,3
1650,2016,32,N.S./N.P.,267
1651,2016,33,<20,1
1652,2016,33,20-24,33
1653,2016,33,25-29,361
1654,2016,33,30-34,4819
1655,2016,33,35-39,3703
1656,2016,33,40-44,968
1657,2016,33,45-49,260
1658,2016,33,50-54,60
1659,2016,33,55-59,15
1660,2016,33,60+,10
1661,2016,33,N.S./N.P.,275
1662,2016,34,<20,0
1663,2016,34,20-24,24
1664,2016,34,25-29,289
1665,2016,34,30-34,3198
1666,2016,34,35-39,4215
1667,2016,34,40-44,1099
1668,2016,34,45-49,309
1669,2016,34,50-54,78
1670,2016,34,55-59,19
1671,2016,34,60+,9
1672,2016,34,N.S./N.P.,228
1673,2016,35,<20,1
1674,2016,35,20-24,13
1675,2016,35,25-29,176
1676,2016,35,30-34,1777
1677,2016,35,35-39,4283
1678,2016,35,40-44,1287
1679,2016,35,45-49,322
1680,2016,35,50-54,81
1681,2016,35,55-59,31
1682,2016,35,60+,10
1683,2016,35,N.S./N.P.,220
1684,2016,36,<20,0
1685,2016,36,20-24,6
1686,2016,36,25-29,130
1687,2016,36,30-34,1034
1688,2016,36,35-39,3486
1689,2016,36,40-44,1371
1690,2016,36,45-49,385
1691,2016,36,50-54,105
1692,2016,36,55-59,29
1693,2016,36,60+,11
1694,2016,36,N.S./N.P.,213
1695,2016,37,<20,0
1696,2016,37,20-24,6
1697,2016,37,25-29,86
1698,2016,37,30-34,572
1699,2016,37,35-39,2631
1700,2016,37,40-44,1395
1701,2016,37,45-49,399
1702,2016,37,50-54,110
1703,2016,37,55-59,38
1704,2016,37,60+,8
1705,2016,37,N.S./N.P.,159
1706,2016,38,<20,1
1707,2016,38,20-24,8
1708,2016,38,25-29,53
1709,2016,38,30-34,350
1710,2016,38,35-39,1731
1711,2016,38,40-44,1247
1712,2016,38,45-49,377
1713,2016,38,50-54,109
1714,2016,38,55-59,28
1715,2016,38,60+,9
1716,2016,38,N.S./N.P.,167
1717,2016,39,<20,1
1718,2016,39,20-24,1
1719,2016,39,25-29,42
1720,2016,39,30-34,243
1721,2016,39,35-39,1052
1722,2016,39,40-44,1169
1723,2016,39,45-49,412
1724,2016,39,50-54,130
1725,2016,39,55-59,29
1726,2016,39,60+,5
1727,2016,39,N.S./N.P.,144
1728,2016,40,<20,0
1729,2016,40,20-24,2
1730,2016,40,25-29,26
1731,2016,40,30-34,149
1732,2016,40,35-39,509
1733,2016,40,40-44,930
1734,2016,40,45-49,366
1735,2016,40,50-54,96
1736,2016,40,55-59,22
1737,2016,40,60+,6
1738,2016,40,N.S./N.P.,106
1739,2016,41,<20,0
1740,2016,41,20-24,1
1741,2016,41,25-29,22
1742,2016,41,30-34,73
1743,2016,41,35-39,288
1744,2016,41,40-44,657
1745,2016,41,45-49,264
1746,2016,41,50-54,86
1747,2016,41,55-59,30
1748,2016,41,60+,13
1749,2016,41,N.S./N.P.,57
1750,2016,42,<20,0
1751,2016,42,20-24,1
1752,2016,42,25-29,6
1753,2016,42,30-34,51
1754,2016,42,35-39,131
1755,2016,42,40-44,378
1756,2016,42,45-49,217
1757,2016,42,50-54,74
1758,2016,42,55-59,19
1759,2016,42,60+,6
1760,2016,42,N.S./N.P.,53
1761,2016,43,<20,0
1762,2016,43,20-24,2
1763,2016,43,25-29,5
1764,2016,43,30-34,27
1765,2016,43,35-39,74
1766,2016,43,40-44,213
1767,2016,43,45-49,174
1768,2016,43,50-54,66
1769,2016,43,55-59,19
1770,2016,43,60+,4
1771,2016,43,N.S./N.P.,56
1772,2016,44,<20,0
1773,2016,44,20-24,0
1774,2016,44,25-29,4
1775,2016,44,30-34,9
1776,2016,44,35-39,27
1777,2016,44,40-44,100
1778,2016,44,45-49,122
1779,2016,44,50-54,31
1780,2016,44,55-59,10
1781,2016,44,60+,6
1782,2016,44,N.S./N.P.,26
1783,2016,<15,<20,5
1784,2016,<15,20-24,0
1785,2016,<15,25-29,0
1786,2016,<15,30-34,0
1787,2016,<15,35-39,0
1788,2016,<15,40-44,0
1789,2016,<15,45-49,0
1790,2016,<15,50-54,0
1791,2016,<15,55-59,0
1792,2016,<15,60+,0
1793,2016,<15,N.S./N.P.,7
1794,2016,>44,<20,0
1795,2016,>44,20-24,1
1796,2016,>44,25-29,3
1797,2016,>44,30-34,9
1798,2016,>44,35-39,37
1799,2016,>44,40-44,88
1800,2016,>44,45-49,149
1801,2016,>44,50-54,74
1802,2016,>44,55-59,36
1803,2016,>44,60+,16
1804,2016,>44,N.S./N.P.,35
1805,2016,N.S./N.P.,<20,0
1806,2016,N.S./N.P.,20-24,0
1807,2016,N.S./N.P.,25-29,0
1808,2016,N.S./N.P.,30-34,1
1809,2016,N.S./N.P.,35-39,1
1810,2016,N.S./N.P.,40-44,2
1811,2016,N.S./N.P.,45-49,1
1812,2016,N.S./N.P.,50-54,0
1813,2016,N.S./N.P.,55-59,0
1814,2016,N.S./N.P.,60+,0
1815,2016,N.S./N.P.,N.S./N.P.,805
1816,2017,15,<20,21
1817,2017,15,20-24,3
1818,2017,15,25-29,0
1819,2017,15,30-34,1
1820,2017,15,35-39,0
1821,2017,15,40-44,1
1822,2017,15,45-49,0
1823,2017,15,50-54,0
1824,2017,15,55-59,0
1825,2017,15,60+,0
1826,2017,15,N.S./N.P.,17
1827,2017,16,<20,78
1828,2017,16,20-24,36
1829,2017,16,25-29,4
1830,2017,16,30-34,1
1831,2017,16,35-39,1
1832,2017,16,40-44,0
1833,2017,16,45-49,0
1834,2017,16,50-54,0
1835,2017,16,55-59,0
1836,2017,16,60+,0
1837,2017,16,N.S./N.P.,52
1838,2017,17,<20,128
1839,2017,17,20-24,108
1840,2017,17,25-29,11
1841,2017,17,30-34,3
1842,2017,17,35-39,0
1843,2017,17,40-44,2
1844,2017,17,45-49,0
1845,2017,17,50-54,0
1846,2017,17,55-59,0
1847,2017,17,60+,0
1848,2017,17,N.S./N.P.,114
1849,2017,18,<20,194
1850,2017,18,20-24,253
1851,2017,18,25-29,55
1852,2017,18,30-34,16
1853,2017,18,35-39,4
1854,2017,18,40-44,1
1855,2017,18,45-49,0
1856,2017,18,50-54,0
1857,2017,18,55-59,0
1858,2017,18,60+,0
1859,2017,18,N.S./N.P.,171
1860,2017,19,<20,188
1861,2017,19,20-24,515
1862,2017,19,25-29,123
1863,2017,19,30-34,36
1864,2017,19,35-39,12
1865,2017,19,40-44,2
1866,2017,19,45-49,2
1867,2017,19,50-54,1
1868,2017,19,55-59,1
1869,2017,19,60+,0
1870,2017,19,N.S./N.P.,230
1871,2017,20,<20,89
1872,2017,20,20-24,837
1873,2017,20,25-29,289
1874,2017,20,30-34,103
1875,2017,20,35-39,31
1876,2017,20,40-44,16
1877,2017,20,45-49,4
1878,2017,20,50-54,2
1879,2017,20,55-59,0
1880,2017,20,60+,0
1881,2017,20,N.S./N.P.,268
1882,2017,21,<20,54
1883,2017,21,20-24,997
1884,2017,21,25-29,530
1885,2017,21,30-34,165
1886,2017,21,35-39,43
1887,2017,21,40-44,18
1888,2017,21,45-49,10
1889,2017,21,50-54,4
1890,2017,21,55-59,0
1891,2017,21,60+,1
1892,2017,21,N.S./N.P.,278
1893,2017,22,<20,23
1894,2017,22,20-24,1050
1895,2017,22,25-29,897
1896,2017,22,30-34,304
1897,2017,22,35-39,68
1898,2017,22,40-44,33
1899,2017,22,45-49,11
1900,2017,22,50-54,1
1901,2017,22,55-59,2
1902,2017,22,60+,0
1903,2017,22,N.S./N.P.,319
1904,2017,23,<20,11
1905,2017,23,20-24,982
1906,2017,23,25-29,1314
1907,2017,23,30-34,491
1908,2017,23,35-39,114
1909,2017,23,40-44,31
1910,2017,23,45-49,18
1911,2017,23,50-54,5
1912,2017,23,55-59,0
1913,2017,23,60+,0
1914,2017,23,N.S./N.P.,333
1915,2017,24,<20,13
1916,2017,24,20-24,790
1917,2017,24,25-29,1968
1918,2017,24,30-34,777
1919,2017,24,35-39,212
1920,2017,24,40-44,65
1921,2017,24,45-49,23
1922,2017,24,50-54,10
1923,2017,24,55-59,3
1924,2017,24,60+,1
1925,2017,24,N.S./N.P.,354
1926,2017,25,<20,5
1927,2017,25,20-24,483
1928,2017,25,25-29,2695
1929,2017,25,30-34,1201
1930,2017,25,35-39,291
1931,2017,25,40-44,71
1932,2017,25,45-49,28
1933,2017,25,50-54,10
1934,2017,25,55-59,5
1935,2017,25,60+,1
1936,2017,25,N.S./N.P.,384
1937,2017,26,<20,7
1938,2017,26,20-24,288
1939,2017,26,25-29,3281
1940,2017,26,30-34,1720
1941,2017,26,35-39,483
1942,2017,26,40-44,126
1943,2017,26,45-49,33
1944,2017,26,50-54,18
1945,2017,26,55-59,4
1946,2017,26,60+,0
1947,2017,26,N.S./N.P.,341
1948,2017,27,<20,3
1949,2017,27,20-24,178
1950,2017,27,25-29,3470
1951,2017,27,30-34,2567
1952,2017,27,35-39,734
1953,2017,27,40-44,172
1954,2017,27,45-49,54
1955,2017,27,50-54,15
1956,2017,27,55-59,8
1957,2017,27,60+,2
