_id,Year/Année,Parent who gave birth/Parent qui a donné naissance,Age of Father or Parent / Âge du père ou parent,Births/Naissances
205,2012,33,45-49,263
206,2012,33,50-54,59
207,2012,33,55-59,11
208,2012,33,60+,5
209,2012,33,N.S./N.P.,252
210,2012,34,<20,0
211,2012,34,20-24,22
212,2012,34,25-29,276
213,2012,34,30-34,2776
214,2012,34,35-39,3871
215,2012,34,40-44,1083
216,2012,34,45-49,277
217,2012,34,50-54,64
218,2012,34,55-59,23
219,2012,34,60+,15
220,2012,34,N.S./N.P.,242
221,2012,35,<20,0
222,2012,35,20-24,24
223,2012,35,25-29,198
224,2012,35,30-34,1607
225,2012,35,35-39,3809
226,2012,35,40-44,1256
227,2012,35,45-49,304
228,2012,35,50-54,91
229,2012,35,55-59,26
230,2012,35,60+,5
231,2012,35,N.S./N.P.,199
232,2012,36,<20,0
233,2012,36,20-24,16
234,2012,36,25-29,119
235,2012,36,30-34,954
236,2012,36,35-39,3189
237,2012,36,40-44,1435
238,2012,36,45-49,354
239,2012,36,50-54,77
240,2012,36,55-59,18
241,2012,36,60+,6
242,2012,36,N.S./N.P.,196
243,2012,37,<20,0
244,2012,37,20-24,14
245,2012,37,25-29,85
246,2012,37,30-34,579
247,2012,37,35-39,2479
248,2012,37,40-44,1399
249,2012,37,45-49,385
250,2012,37,50-54,94
251,2012,37,55-59,16
252,2012,37,60+,11
253,2012,37,N.S./N.P.,167
254,2012,38,<20,0
255,2012,38,20-24,12
256,2012,38,25-29,49
257,2012,38,30-34,328
258,2012,38,35-39,1617
259,2012,38,40-44,1243
260,2012,38,45-49,381
261,2012,38,50-54,93
262,2012,38,55-59,19
263,2012,38,60+,10
264,2012,38,N.S./N.P.,148
265,2012,39,<20,0
266,2012,39,20-24,4
267,2012,39,25-29,42
268,2012,39,30-34,231
269,2012,39,35-39,981
270,2012,39,40-44,1139
271,2012,39,45-49,390
272,2012,39,50-54,114
273,2012,39,55-59,23
274,2012,39,60+,9
275,2012,39,N.S./N.P.,129
276,2012,40,<20,0
277,2012,40,20-24,5
278,2012,40,25-29,32
279,2012,40,30-34,122
280,2012,40,35-39,516
281,2012,40,40-44,1017
282,2012,40,45-49,335
283,2012,40,50-54,96
284,2012,40,55-59,21
285,2012,40,60+,14
286,2012,40,N.S./N.P.,106
287,2012,41,<20,0
288,2012,41,20-24,3
289,2012,41,25-29,17
290,2012,41,30-34,72
291,2012,41,35-39,285
292,2012,41,40-44,666
293,2012,41,45-49,308
294,2012,41,50-54,80
295,2012,41,55-59,21
296,2012,41,60+,2
297,2012,41,N.S./N.P.,75
298,2012,42,<20,0
299,2012,42,20-24,0
300,2012,42,25-29,7
301,2012,42,30-34,47
302,2012,42,35-39,133
303,2012,42,40-44,417
304,2012,42,45-49,204
305,2012,42,50-54,53
306,2012,42,55-59,12
307,2012,42,60+,6
308,2012,42,N.S./N.P.,45
309,2012,43,<20,0
310,2012,43,20-24,0
311,2012,43,25-29,1
312,2012,43,30-34,19
313,2012,43,35-39,74
314,2012,43,40-44,213
315,2012,43,45-49,166
316,2012,43,50-54,57
317,2012,43,55-59,18
318,2012,43,60+,2
319,2012,43,N.S./N.P.,36
320,2012,44,<20,0
321,2012,44,20-24,1
322,2012,44,25-29,2
323,2012,44,30-34,13
324,2012,44,35-39,30
325,2012,44,40-44,88
326,2012,44,45-49,112
327,2012,44,50-54,32
328,2012,44,55-59,10
329,2012,44,60+,2
330,2012,44,N.S./N.P.,24
331,2012,<15,<20,3
332,2012,<15,20-24,1
333,2012,<15,25-29,0
334,2012,<15,30-34,1
335,2012,<15,35-39,0
336,2012,<15,40-44,0
337,2012,<15,45-49,0
338,2012,<15,50-54,0
339,2012,<15,55-59,0
340,2012,<15,60+,0
341,2012,<15,N.S./N.P.,6
342,2012,>44,<20,0
343,2012,>44,20-24,0
344,2012,>44,25-29,0
345,2012,>44,30-34,9
346,2012,>44,35-39,39
347,2012,>44,40-44,85
348,2012,>44,45-49,132
349,2012,>44,50-54,53
350,2012,>44,55-59,19
351,2012,>44,60+,14
352,2012,>44,N.S./N.P.,26
353,2012,N.S./N.P.,<20,0
354,2012,N.S./N.P.,20-24,1
355,2012,N.S./N.P.,25-29,0
356,2012,N.S./N.P.,30-34,0
357,2012,N.S./N.P.,35-39,3
358,2012,N.S./N.P.,40-44,1
359,2012,N.S./N.P.,45-49,2
360,2012,N.S./N.P.,50-54,0
361,2012,N.S./N.P.,55-59,0
362,2012,N.S./N.P.,60+,0
363,2012,N.S./N.P.,N.S./N.P.,1756
364,2013,15,<20,46
365,2013,15,20-24,8
366,2013,15,25-29,0
367,2013,15,30-34,0
368,2013,15,35-39,0
369,2013,15,40-44,0
370,2013,15,45-49,0
371,2013,15,50-54,0
372,2013,15,55-59,0
373,2013,15,60+,0
374,2013,15,N.S./N.P.,19
375,2013,16,<20,131
376,2013,16,20-24,41
377,2013,16,25-29,5
378,2013,16,30-34,1
379,2013,16,35-39,1
380,2013,16,40-44,0
381,2013,16,45-49,0
382,2013,16,50-54,0
383,2013,16,55-59,0
384,2013,16,60+,0
385,2013,16,N.S./N.P.,96
386,2013,17,<20,273
387,2013,17,20-24,150
388,2013,17,25-29,25
